year,month,day,flow,ss,ht,rain
1980,11,24,0.289,NaN,NaN,NaN
1980,11,25,0.312,NaN,NaN,NaN
1980,11,26,0.304,NaN,NaN,NaN
1980,11,27,0.326,NaN,NaN,NaN
1980,11,28,0.528,NaN,NaN,NaN
1980,11,29,0.281,NaN,NaN,NaN
1980,11,30,0.276,NaN,NaN,NaN
1980,12,1,0.28,NaN,NaN,NaN
1980,12,2,0.268,NaN,NaN,NaN
1980,12,3,0.261,NaN,NaN,NaN
1980,12,4,0.264,NaN,NaN,NaN
1980,12,5,0.265,NaN,NaN,NaN
1980,12,6,0.268,NaN,NaN,NaN
1980,12,7,0.269,NaN,NaN,NaN
1980,12,8,0.265,NaN,NaN,NaN
1980,12,9,0.269,NaN,NaN,NaN
1980,12,10,0.262,NaN,NaN,NaN
1980,12,11,0.271,NaN,NaN,NaN
1980,12,12,0.269,NaN,NaN,NaN
1980,12,13,0.263,NaN,NaN,NaN
1980,12,14,0.281,NaN,NaN,NaN
1980,12,15,0.256,NaN,NaN,NaN
1980,12,16,0.263,NaN,NaN,NaN
1980,12,17,0.255,NaN,NaN,NaN
1980,12,18,0.261,NaN,NaN,NaN
1980,12,19,0.256,NaN,NaN,NaN
1980,12,20,0.282,NaN,NaN,NaN
1980,12,21,0.258,NaN,NaN,NaN
1980,12,22,0.606,NaN,NaN,NaN
1980,12,23,0.321,NaN,NaN,NaN
1980,12,24,0.393,NaN,NaN,NaN
1980,12,25,0.321,NaN,NaN,NaN
1980,12,26,0.366,NaN,NaN,NaN
1980,12,27,0.751,NaN,NaN,NaN
1980,12,28,0.336,NaN,NaN,NaN
1980,12,29,0.21,NaN,NaN,NaN
1980,12,30,0.71,NaN,NaN,NaN
1980,12,31,0.699,NaN,NaN,NaN
1981,1,1,0.381,NaN,NaN,NaN
1981,1,2,0.241,NaN,NaN,NaN
1981,1,3,0.229,NaN,NaN,NaN
1981,1,4,0.228,NaN,NaN,NaN
1981,1,5,0.223,NaN,NaN,NaN
1981,1,6,0.225,NaN,NaN,NaN
1981,1,7,0.219,NaN,NaN,NaN
1981,1,8,0.206,NaN,NaN,NaN
1981,1,9,0.212,NaN,NaN,NaN
1981,1,10,0.196,NaN,NaN,NaN
1981,1,11,0.288,NaN,NaN,NaN
1981,1,12,0.223,NaN,NaN,NaN
1981,1,13,0.248,NaN,NaN,NaN
1981,1,14,0.191,NaN,NaN,NaN
1981,1,15,0.191,NaN,NaN,NaN
1981,1,16,0.353,NaN,NaN,NaN
1981,1,17,0.24,NaN,NaN,NaN
1981,1,18,0.275,NaN,NaN,NaN
1981,1,19,2.225,NaN,NaN,NaN
1981,1,20,NaN,NaN,NaN,NaN
1981,1,21,NaN,NaN,NaN,NaN
1981,1,22,NaN,NaN,NaN,NaN
1981,1,23,NaN,NaN,NaN,NaN
1981,1,24,NaN,NaN,NaN,NaN
1981,1,25,NaN,NaN,NaN,NaN
1981,1,26,NaN,NaN,NaN,NaN
1981,1,27,NaN,NaN,NaN,NaN
1981,1,28,NaN,NaN,NaN,NaN
1981,1,29,NaN,NaN,NaN,NaN
1981,1,30,NaN,NaN,NaN,NaN
1981,1,31,NaN,NaN,NaN,NaN
1981,2,1,NaN,NaN,NaN,NaN
1981,2,2,NaN,NaN,NaN,NaN
1981,2,3,NaN,NaN,NaN,NaN
1981,2,4,NaN,NaN,NaN,NaN
1981,2,5,NaN,NaN,NaN,NaN
1981,2,6,NaN,NaN,NaN,NaN
1981,2,7,NaN,NaN,NaN,NaN
1981,2,8,NaN,NaN,NaN,NaN
1981,2,9,NaN,NaN,NaN,NaN
1981,2,10,NaN,NaN,NaN,NaN
1981,2,11,NaN,NaN,NaN,NaN
1981,2,12,NaN,NaN,NaN,NaN
1981,2,13,NaN,NaN,NaN,NaN
1981,2,14,NaN,NaN,NaN,NaN
1981,2,15,NaN,NaN,NaN,NaN
1981,2,16,NaN,NaN,NaN,NaN
1981,2,17,NaN,NaN,NaN,NaN
1981,2,18,0.58,NaN,NaN,NaN
1981,2,19,0.324,NaN,NaN,NaN
1981,2,20,0.253,NaN,NaN,NaN
1981,2,21,0.257,NaN,NaN,NaN
1981,2,22,0.267,NaN,NaN,NaN
1981,2,23,0.269,NaN,NaN,NaN
1981,2,24,0.274,NaN,NaN,NaN
1981,2,25,0.28,NaN,NaN,NaN
1981,2,26,0.295,NaN,NaN,NaN
1981,2,27,0.3,NaN,NaN,NaN
1981,2,28,0.48,NaN,NaN,NaN
1981,3,1,2.264,NaN,NaN,NaN
1981,3,2,0.884,NaN,NaN,NaN
1981,3,3,0.391,NaN,NaN,NaN
1981,3,4,0.296,NaN,NaN,NaN
1981,3,5,0.287,NaN,NaN,NaN
1981,3,6,0.249,NaN,NaN,NaN
1981,3,7,0.336,NaN,NaN,NaN
1981,3,8,0.398,NaN,NaN,NaN
1981,3,9,0.446,NaN,NaN,NaN
1981,3,10,0.366,NaN,NaN,NaN
1981,3,11,0.3,NaN,NaN,NaN
1981,3,12,0.288,NaN,NaN,NaN
1981,3,13,0.28,NaN,NaN,NaN
1981,3,14,0.278,NaN,NaN,NaN
1981,3,15,0.272,NaN,NaN,NaN
1981,3,16,0.266,NaN,NaN,NaN
1981,3,17,0.263,NaN,NaN,NaN
1981,3,18,0.252,NaN,NaN,NaN
1981,3,19,0.517,NaN,NaN,NaN
1981,3,20,2.684,NaN,NaN,NaN
1981,3,21,1.03,NaN,NaN,NaN
1981,3,22,0.897,NaN,NaN,NaN
1981,3,23,0.506,NaN,NaN,NaN
1981,3,24,0.381,NaN,NaN,NaN
1981,3,25,3.287,NaN,NaN,NaN
1981,3,26,0.535,NaN,NaN,NaN
1981,3,27,0.328,NaN,NaN,NaN
1981,3,28,0.299,NaN,NaN,NaN
1981,3,29,0.273,NaN,NaN,NaN
1981,3,30,0.254,NaN,NaN,NaN
1981,3,31,0.251,NaN,NaN,NaN
1981,4,1,0.248,NaN,NaN,NaN
1981,4,2,0.244,NaN,NaN,NaN
1981,4,3,0.238,NaN,NaN,NaN
1981,4,4,0.237,NaN,NaN,NaN
1981,4,5,0.256,NaN,NaN,NaN
1981,4,6,0.233,NaN,NaN,NaN
1981,4,7,0.228,NaN,NaN,NaN
1981,4,8,0.228,NaN,NaN,NaN
1981,4,9,0.228,NaN,NaN,NaN
1981,4,10,0.223,NaN,NaN,NaN
1981,4,11,0.419,NaN,NaN,NaN
1981,4,12,0.661,NaN,NaN,NaN
1981,4,13,7.84,NaN,NaN,NaN
1981,4,14,5.393,NaN,NaN,NaN
1981,4,15,3.273,NaN,NaN,NaN
1981,4,16,1.117,NaN,NaN,NaN
1981,4,17,0.475,NaN,NaN,NaN
1981,4,18,0.429,NaN,NaN,NaN
